,line,nuclear_cost,CO2,onwind_cost,offwind_cost,solar_cost,onwind_potential,solar_potential,nuclear_inv_NO,nuclear_cap_NO,nuclear_prod_NO,onwind_inv_NO,onwind_cap_NO,onwind_prod_NO,solar_inv_NO,solar_cap_NO,solar_prod_NO,offwind_inv_NO,offwind_cap_NO,offwind_NO,nuclear_inv_EU,nuclear_cap_EU,nuclear_prod_EU,onwind_inv_EU,onwind_cap_EU,onwind_prod_EU,solar_inv_EU,solar_cap_EU,solar_prod_EU,offwind_inv_EU,offwind_cap_EU,offwind_EU,offwind_prod_NO,offwind_prod_EU
elec_s_100_lc1.25__Co2L0.1-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-solar+c1.3-nuclear+c0.5_2050.nc,1.25,0.5,0.1,1.0,1.0,1.3,1.0,1,127318.77124006081,0.3602821281393272,9443.387090590611,1234209856.5020792,11282.949226450766,26752894.79512526,7641806.2091509085,130.85767917400062,122910.64287159524,233788.26814279915,1.1437583546396857,3233.366113043993,114816517669.988,324903.69588702125,8520069702.011748,99722069744.12404,911643.221573671,2678748519.1301436,23298777404.390903,398966.40339810436,556265726.5713292,5143764107.863296,25309.892607334117,100573274.04792689,3233.366113043993,100573274.04792689
elec_s_100_lc1.25__Co2L0-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.6_2050.nc,1.25,0.6,0.0,1.0,1.0,1.0,1.0,1,6922.990944002948,0.016325361178751975,390.216466714,3026735703.070718,27669.93399033444,69209553.10237226,1050733065.9637855,21894.403066014285,23252200.225919988,1840151.9104555508,8.39164263338537,37279.20083007962,94575091405.77298,223021.02345666007,5776809604.81114,143350741941.91376,1310489.5690013752,3573621750.2076592,101931702321.66547,2123977.8666225453,3040906079.2623167,12106981738.416927,58789.141949302466,239784871.1521695,37279.20083007962,239784871.1521695
elec_s_100_lc1.5__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-solar+c1.3-nuclear+c0.6_2050.nc,1.5,0.6,0.05,1.0,1.0,1.3,1.0,1,13363.106638215892,0.031512036358798345,769.1248935974912,3095172806.8748226,28295.57505401505,70645151.85114321,59175528.73760491,1013.3170277498775,1085981.5290719154,1841374.2398422773,8.39729573168715,37065.35857341952,99110575007.76912,233716.31520581854,6099356545.026042,138773094938.2638,1268641.4518058293,3497160273.760911,58035204174.51861,993790.2010093753,1461052485.5099304,12464387336.031723,60817.46498350934,250229328.65447813,37065.35857341952,250229328.65447813
elec_s_100_lc1.5__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.6_2050.nc,1.5,0.6,0.05,1.0,1.0,1.0,1.0,1,6487.67946480937,0.015298837067919789,344.3379339550356,1935865088.3190732,17697.36919997278,43498902.37495547,853394274.096183,17782.402416499648,19141978.153296385,242259.36037544816,1.1806501251849073,3430.4389073609705,74620548862.3843,175965.47812768814,4534088984.71927,129095593590.56145,1180171.281380764,3284846686.3403196,79141686710.22397,1649096.277910027,2370649060.665948,10594005750.542889,51610.280675592156,213518509.38886806,3430.4389073609705,213518509.38886806
elec_s_100_lc1.25__Co2L0.1-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.9_2050.nc,1.25,0.9,0.1,1.0,1.0,1.0,1.0,1,1075.8139620966747,0.0016912778146933184,30.9439654900242,1175959897.5272424,10750.437412439975,24881880.33763375,271461175.6945571,5656.508384438336,6142369.897288921,1837908.3412269051,8.380598599976413,36677.06068731671,1854561825.4654853,2915.5405877740945,74692455.2023081,146863502570.28384,1342602.6651703722,3417213275.9838715,92454636551.95119,1926501.7382255334,2444234482.492887,20762540894.2597,97297.9216756896,383012678.2086414,36677.06068731671,383012678.2086414
elec_s_100_lc1.25__Co2L0-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.8_2050.nc,1.25,0.8,0.0,1.0,1.0,1.0,1.0,1,440.29659496923466,0.0007787097726388813,16.109750209921195,2624840009.7365,23995.867802700177,59799533.864939235,871952986.6344302,18169.11522288304,19173925.52090031,3602488.5435478664,16.786538922919544,67612.11429797538,21160986577.372787,37425.37924380675,950888896.399615,177688821741.30768,1624402.805773297,4168578745.3880334,135390057139.48682,2821158.463708989,3794714526.524016,30185402586.93812,141137.2024456394,573154338.1827306,67612.11429797538,573154338.1827306
elec_s_100_lc1.5__Co2L0-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-solar+c1.3-nuclear+c0.6_2050.nc,1.5,0.6,0.0,1.0,1.0,1.3,1.0,1,34821.73854083759,0.08211443047512378,2090.57839290324,3095172807.571713,28295.575060385898,71116419.03178538,404943023.40611464,6934.211989983837,7560749.621658614,244582117.10600072,1052.2565102473093,4726925.220001047,111236620358.13176,262311.19155562535,6868400409.432425,157206542804.1207,1437157.0857097304,3868087918.6939487,82226112844.62338,1408033.3889469889,2092195714.9157386,23080845736.094315,109414.78007945452,464401721.14467263,4726925.220001047,464401721.14467263
elec_s_100_lc1.5__Co2L0.15-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-solar+c1.3_2050.nc,1.5,1.0,0.15,1.0,1.0,1.3,1.0,1,2091.3555147176858,0.0029590217066960043,50.94011912578233,1284840490.0873604,11745.806385657706,27333288.427081537,7641760.426074113,130.85689518825026,122831.44121702944,1840520.5091157672,8.393556856241776,36475.26144175204,601064095.226615,850.4348937207063,22390219.570447452,160847919694.9859,1470445.971191852,3706327742.089387,83392018890.47102,1427998.2709551014,1798248049.5596957,23728303358.414757,111193.30612471869,432379476.223266,36475.26144175204,432379476.223266
elec_s_100_lc1.25__Co2L0.15-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.9_2050.nc,1.25,0.9,0.15,1.0,1.0,1.0,1.0,1,4124.059181288556,0.006483397730033219,123.81273140254194,1044069440.3514762,9544.715934906915,21954183.719991036,235914564.83530805,4915.814243372842,5342422.101027003,1841377.3476588822,8.398387288808399,36865.830251525054,1679126741.0645905,2639.7406106220787,67873300.31088366,141267009198.23553,1291440.4173319447,3286247664.725896,88956916105.98451,1853618.8113082284,2328511046.964682,21014321635.350964,98273.54438561015,389569364.0594296,36865.830251525054,389569364.0594296
elec_s_100_lc1.5__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-onwind+c1.3-offwind+c1.3-nuclear+c0.7_2050.nc,1.5,0.7,0.05,1.3,1.3,1.0,1.0,1,616.4443008070674,0.0012459943899135863,28.028286194919406,671499465.1760538,4858.441582725513,9544293.94855376,767056459.703299,15983.358520966929,17171513.68147289,294491.6427991062,1.1082947000978332,3129.3126003803395,79904226099.2768,161507.23969665772,4181910722.964646,125795581562.5268,910157.8125997202,2627685130.793265,110613946363.46507,2304892.084254309,3263103784.7663903,6714814227.109116,25416.031096657593,100957512.67657277,3129.3126003803395,100957512.67657277
